zincid,Binder,D4 Ki(nM),D2 Ki(nM),D3 Ki(nM),cAMP EC50(nM),Inhibition (%) at 10uM,Notes,smiles,score,hac
ZINC000453018295,0,,,,NT,43.16,,O[C@H](Cc1ccc2ccccc2c1)CN1C[C@]2(CCCO2)[C@H]1C1CC1,-65.68,25.0
ZINC000592181028,0,,,,NT,23.42,,C[C@@H]1CC2(CN1CC(=O)Nc1cc(Cl)ccc1C#N)CCOCC2,-65.63,24.0
ZINC000433256163,1,2440,>10000,>10000,ND,77.35,,CSc1cccc(NC(=O)[C@H](C)N2CC3(CCC3)C[C@H]2C)c1,-65.61,22.0
ZINC000277343296,1,4070,>10000,>10000,NT,66.08,,O[C@]1(CNC2CC(c3cccc(Br)c3)C2)CCSC1,-65.6,19.0
ZINC000488122558,0,,,,NT,54.69,,C[C@@H]1CN(Cc2cncc(OCc3ccccc3)c2)C[C@@H]1O,-65.55,22.0
ZINC000363675222,0,,,,NT,56.54,,CO[C@H]1CCCN([C@@H](C)C(=O)Nc2ccc(C#N)c(Cl)c2)CC1,-65.54,23.0
ZINC000655736376,0,,,,NT,83.77,,CCC(CC)[C@@H](O)CNCc1cn(-c2ccc(C)cc2)nc1C,-65.48,23.0
ZINC000657852679,1,3460,>10000,>10000,NT,76.53,,O=C(CN[C@@H]1CCCSCC1)Nc1ccc(Br)cc1,-65.37,19.0
ZINC000595834230,0,,,,NT,53.79,,CCOC(=O)c1nc(-c2ccccc2)oc1CN1CCC2(COC2)C1,-65.35,25.0
ZINC000268141382,1,560,>10000,>10000,9930,93.37,,C[C@H]1CN(C2CC2)C[C@H]1NC(=O)c1cc2cc([N+](=O)[O-])ccc2s1,-65.33,24.0
ZINC000270061995,0,,,,NT,39.59,,O[C@@]1(CNCc2cn(-c3ccc(F)cc3Cl)nn2)CCSC1,-65.28,22.0
ZINC000246954730,0,,,,NT,63.23,,Cc1cccc(NC(=O)[C@H](C)N2CC[C@H]3OCCC[C@H]3C2)c1C,-65.23,23.0
ZINC000450352542,0,,,,NT,42.43,,C[C@H]1C[C@@H](Nc2ncnc3cc(Br)ccc32)CCN1C,-65.22,20.0
ZINC000617989628,0,,,,NT,39.45,,CN(CC(=O)Nc1ccc2ccn(C(F)F)c2c1)[C@H]1CCSC1,-65.13,23.0
ZINC000343998070,0,,,,NT,44.69,,Fc1ccc(-c2ccc(CN3CCC[C@H]3Cn3ccnn3)o2)cc1,-65.1,24.0
ZINC000485951008,0,,,,NT,65.77,,Fc1ccc2[nH]c(=NCc3cn(-c4ccc(F)c(Cl)c4)nn3)[nH]c2c1,-64.99,25.0
ZINC000451895384,0,,,,NT,31.11,,Cc1ccc(NC(=O)[C@H](C)N2CCC[C@]3(CCOC3)C2)c(Cl)c1,-64.97,23.0
ZINC000366649577,0,,,,NT,44.75,,Cc1ccc(CNC(=O)CN2CC[C@@H]([C@@H]3CCOC3)C2)cc1,-64.92,22.0
ZINC000464771011,1,140,>10000,>10000,10.42,99.66,,CCS[C@H]1CC[C@@H](N(C)CC(=O)Nc2ccc(C)c(C)c2)C1,-64.89,22.0
ZINC000413396487,0,,,,NT,51.17,,Cc1cccc2nc(NCC3(N4CCOCC4)CCOCC3)sc21,-64.87,24.0
ZINC000451982669,0,,,,NT,8.39,,C[C@@H](C(=O)Nc1cccc([N+](=O)[O-])c1)N1CCC[C@]2(CCSC2)C1,-64.87,24.0
ZINC000128927868,0,,,,NT,19.81,,O=C(Nc1nccc2sccc21)[C@H](C1CC1)N1CCCC1,-64.83,21.0
ZINC000344040091,0,,,,NT,-8.92,,Cc1cc2cc(CNC(=O)CN3[C@@H](C)CC[C@@H]3C)ccc2[nH]1,-64.83,22.0
ZINC000360021487,0,,,,NT,5.02,,Cc1cccc(-c2nnc([C@@H](C)N(C)CCc3ccncc3)o2)c1,-64.8,24.0
ZINC000369205980,0,,,,NT,-5.59,,N#CC1(c2ccccn2)CCN([C@@H]2Cc3ccccc3[C@@H]2O)CC1,-64.8,24.0
ZINC000270628406,0,,,,NT,-0.59,,Cc1sc2nc(CN3CCC4(C3)CCOCC4)nc(O)c2c1C,-64.79,23.0
ZINC000544192609,0,,,,NT,14.68,,Clc1ccc(-n2cc(CN[C@@H]3CC=CCC3)nn2)cc1Cl,-64.79,21.0
ZINC000363377421,0,,,,NT,8.51,,C[C@@H](NC(=O)CN1CCCOCC1)c1ccc2ccccc2c1,-64.77,23.0
ZINC000290537631,0,,,,NT,25.35,,CSCc1cccnc1C(=O)N[C@@H]1CN(C2CC2)C[C@@H]1C,-64.75,21.0
ZINC000649689957,1,3310,>10000,>10000,NT,66.24,,CCC[C@H](C)[C@H](CO)NCc1cc(-c2ccccc2)on1,-64.75,21.0
ZINC000464682470,1,3460,>10000,>10000,NT,96.03,,c1ccc(C[C@H]2CCN2Cc2nnc(-c3ccccc3)s2)cc1,-64.72,23.0
ZINC000271382349,0,,,,NT,89.82,,CC[C@H]1CN(Cc2cn(-c3cccc(Cl)c3Cl)nn2)C[C@@H]1O,-64.7,22.0
ZINC000602586979,1,2560,>10000,>10000,NT,68.53,,COC(=O)c1cc(CN(C)C[C@H]2CCCC[C@H]2O)[nH]c1C,-64.65,21.0
ZINC000527688598,0,,,,NT,20.26,,OC[C@@H](C[C@H](O)c1ccccc1)NCc1ncc(Br)cc1F,-64.57,22.0
ZINC000563406324,0,,,,NT,51.29,,O=C([C@@H]1CCCN(Cc2cccc(F)c2)C1)N1Cc2cncnc2C1,-64.52,25.0
ZINC000467716766,1,700,>10000,>10000,34800,87.73,,C[C@H]1CN(C2CC2)C[C@H]1NC(=O)c1cc2cc(Br)ccc2o1,-64.47,22.0
ZINC000185158323,0,,,,NT,88.47,,Cc1cccnc1/C=C/C(=O)N[C@@H]1CN(C(C)C)C[C@@H]1C,-64.46,21.0
ZINC000640050710,0,,,,NT,6.34,,Cc1cc(C(=O)CN2C[C@H](O)C[C@H]2C2CC2)c(C)n1-c1nccs1,-64.45,24.0
ZINC000265066748,0,,,,NT,57.98,,CN(C)C1(CNC(=O)c2csc(-c3ccc(F)cc3)n2)CCOCC1,-64.39,25.0
ZINC000305241084,0,,,,NT,47.56,,C[C@@](O)(CNCc1cccc(-c2ccccn2)c1)c1ccco1,-64.38,23.0
ZINC000666614106,0,,,,NT,31.38,,O=C(Nc1cc(Cl)cc(Cl)c1)N1CC[C@@H]2CCN[C@@H]2C1,-64.36,20.0
ZINC000488640994,0,,,,NT,9.39,,CCN(C[C@H]1CCCO1)[C@H](C)C(=O)Nc1cccc(Br)c1,-64.35,21.0
ZINC000487844530,0,,,,NT,24.27,,CC[C@H](C(=O)NC[C@@H]1SCCc2ccccc21)N(CC)CC,-64.24,22.0
ZINC000651262870,1,440,>10000,>10000,31040,83.60,,C[C@H](CNC(=O)c1coc2ccc(Cl)cc12)N1CCCC1,-64.24,21.0
ZINC000407322128,0,,,,NT,10.86,,Cc1nc(-c2cccc(NC(=O)[C@@H]3CC[C@H](C4CC4)N3)c2)n[nH]1,-64.22,23.0
ZINC000301254546,0,,,,NT,9.13,,C[C@@H](CNc1nc2sccn2c1[N+](=O)[O-])N(C)Cc1ccccc1,-64.21,24.0
ZINC000565883300,0,,,,NT,73.18,,CC(C)N1CC[C@H](CN=c2[nH]c(C(F)(F)F)c(Br)s2)C1,-64.19,20.0
ZINC000026473483,0,,,,NT,5.34,,C[C@@H]1CCC[C@H](N(C)CC(=O)Nc2cc3c(cc2[N+](=O)[O-])OCO3)C1,-64.13,25.0
ZINC000656264298,0,,,,NT,47.18,,Cc1ccc(NC(=O)CN[C@H]2CC[C@@H](C)SC2)c(Cl)c1,-64.13,20.0
ZINC000177973904,0,,,,NT,31.66,,Cc1cc(-n2c(C)cc(C(=O)CN3CC[C@](C)(O)C3)c2C)no1,-64.12,23.0
ZINC000646092836,1,3650,>10000,>10000,ND,76.17,,Cc1c(Cl)cccc1NC(=O)CN[C@@H]1CCC[C@H]2C[C@H]21,-64.12,20.0
ZINC000275794416,0,,,,NT,45.13,,CC(C)c1nnc2ccc(NC(=O)[C@@H](C3CC3)N3CCCC3)cn21,-64.08,24.0
ZINC000128122168,0,,,,NT,24.15,,Cn1ccnc1-c1csc(NC(=O)[C@@H](C2CC2)N2CCCC2)n1,-64.05,23.0
ZINC000085334606,1,6810,>10000,>10000,NT,71.72,,O[C@@H]1Cc2ccccc2[C@@H]1NCc1ccc(-c2ccc(F)cc2)o1,-64.0,24.0
ZINC000253552236,0,,,,NT,11.18,,CC(C)N1C[C@H](C)[C@H](NC(=O)c2cc(O)nc3cc(F)ccc32)C1,-64.0,24.0
ZINC000290628915,0,,,,NT,41.70,,Cc1ncc(CN2CC[C@H](C(=O)N3CCCC3)C2)n1-c1ccccc1,-64.0,25.0
ZINC000337655505,0,,,,NT,-32.25,,CN(C)CC(=O)Nc1cc(-c2ccsc2)nn1-c1ccccc1,-64.0,23.0
ZINC000539926398,1,3250,>10000,>10000,NT,78.45,,O=C(CCc1ccc(Cl)cc1Cl)NCCN1CC=CCC1,-64.0,21.0
ZINC000624261462,0,,,,NT,5.87,,N=c1[nH]c(=N)[nH]c(=NC[C@H]2CCCC[C@@H]2c2ccccc2)[nH]1,-64.0,22.0
